Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
113,0,-22,1007,-1050,0,-70,-8,-24,1005,-580,-15,-400
114,0,-22,1007,-1120,0,-70,-10,-21,1005,-576,-25,-409
115,1,-22,1007,-1120,0,-70,-9,-21,1010,-577,-19,-405
116,0,-23,1007,-1050,0,-70,-10,-22,1010,-573,-24,-396
117,0,-22,1008,-1120,0,-70,-10,-22,1010,-577,-25,-403
118,0,-22,1009,-1120,0,-70,-9,-25,1010,-570,-28,-399
119,0,-21,1008,-1050,0,0,-9,-22,1008,-574,-19,-403
120,0,-23,1007,-1050,0,-70,-10,-23,1006,-579,-27,-409
121,0,-22,1008,-1120,0,-70,-10,-24,1009,-582,-22,-402
122,1,-23,1008,-1120,-70,-70,-9,-23,1012,-574,-19,-396
123,0,-23,1007,-1120,-70,-140,-7,-25,1014,-585,-27,-408
124,0,-22,1008,-1120,0,-70,-7,-22,1009,-579,-25,-406
125,1,-23,1007,-1050,-70,-70,-8,-26,1008,-576,-24,-403
126,0,-23,1008,-1120,0,-70,-9,-26,1011,-577,-21,-406
127,0,-21,1008,-1050,0,-70,-8,-24,1010,-577,-19,-394
128,0,-22,1007,-1120,0,-70,-9,-24,1009,-580,-28,-397
129,0,-21,1007,-1120,0,-70,-10,-22,1011,-580,-28,-399
130,0,-22,1009,-1120,-70,-70,-9,-24,1006,-579,-15,-406
131,0,-22,1008,-1120,-70,-70,-9,-26,1008,-579,-16,-400
132,0,-23,1008,-1120,0,-70,-11,-29,1011,-583,-18,-391
133,1,-24,1008,-1120,0,-70,-10,-26,1011,-576,-28,-393
134,1,-23,1007,-1120,0,-70,-9,-23,1006,-579,-24,-405
135,1,-22,1009,-1190,0,-70,-9,-22,1005,-576,-24,-391
136,0,-22,1007,-1120,0,-70,-10,-26,1014,-574,-19,-399
137,0,-22,1007,-1120,-70,-70,-10,-20,1010,-579,-21,-400
138,0,-22,1008,-1050,-70,-70,-9,-23,1009,-588,-22,-399
139,1,-23,1007,-1050,0,-70,-8,-22,1007,-568,-25,-400
140,0,-22,1008,-1050,0,-70,-10,-23,1007,-585,-13,-400
141,0,-22,1006,-1120,-70,-70,-9,-26,1009,-573,-27,-394
142,0,-22,1008,-1050,-70,-70,-9,-22,1007,-580,-19,-396
143,0,-22,1008,-1120,-70,-70,-8,-23,1007,-574,-18,-409
144,1,-23,1008,-1120,-70,-70,-7,-25,1006,-574,-19,-408
145,0,-23,1008,-1120,0,-70,-9,-25,1010,-580,-15,-405
146,0,-23,1008,-1120,-70,-70,-9,-22,1011,-573,-13,-397
147,0,-22,1007,-1120,0,-70,-9,-23,1008,-567,-16,-400
148,0,-23,1008,-1190,0,-70,-10,-24,1006,-577,-18,-397
149,0,-22,1008,-1190,-70,-70,-10,-25,1007,-580,-27,-403
150,0,-21,1007,-1120,-70,-70,-9,-25,1010,-577,-18,-402
151,-1,-22,1008,-1120,0,-70,-10,-24,1009,-574,-19,-400
152,0,-22,1008,-1120,-70,-70,-8,-25,1009,-582,-21,-409
153,0,-22,1007,-1120,-70,-70,-8,-25,1006,-591,-25,-402
154,1,-23,1007,-1050,-70,-70,-9,-23,1005,-579,-22,-405
155,0,-23,1009,-1120,0,-70,-11,-24,1009,-574,-21,-403
156,0,-23,1007,-1050,0,-70,-9,-26,1012,-571,-24,-400
157,0,-23,1008,-1050,0,-70,-10,-25,1005,-583,-21,-403
158,0,-22,1007,-1120,0,-70,-9,-24,1006,-577,-28,-402
159,0,-22,1007,-1050,-70,-70,-9,-25,1010,-571,-19,-399
160,1,-22,1008,-1190,0,-70,-8,-24,1008,-571,-15,-396
161,0,-22,1008,-1120,0,-70,-9,-24,1009,-579,-19,-403
162,0,-22,1007,-1120,-70,-70,-10,-24,1007,-580,-19,-405
163,0,-22,1009,-1120,0,-70,-9,-21,1006,-580,-16,-402
